ean,sku,title,status
4897098685105,NETT0192,TP-Link C420S1 CCTV kabellos NEU,updated
4897098685143,NETT0201,TP-Link Tapo Akku-Pack,updated
4897098687765,NETT0147,TP-Link AX1800 WLAN Access Point kabellos NEU,updated
5032037279239,CPUI0215,Intel Core i7-14700 processor,unchanged
5397063763610,SUPD1027,DELL kabelgebundene Maus – MS116 - schwarz,unchanged
5397184513972,REFD0002,Dell WD19S 130 Docking Station NEU,unchanged
5397184961735,SUPD1024,DELL WD25 Kabelgebunden USB 3.2 Gen 2 (3.1 Gen 2) Type-C Schwarz,unchanged
5397231022495,SOFN0001,Norton 360 For Gamers Antivirus-Sicherheit Kommerziell 1 Lizenz(en) 1 Jahr(e),not_live
5397321029045,SUPD1030,DELL WD25Z USB-C Kabel USB 3.2 130W NEU,updated
5704174219279,SUPD1020,Dell E5 N ATX Netzteil 65W NEU,not_live
5704174529460,SUPZ0033,Zeb ZD421 Etikettendrucker NEU,not_live
5706991014839,SUPJ1004,Jabra Speak 510,unchanged
5706991019957,SUPJ1082,Jabra Evolve 30 II UC Mono,unchanged
5706991022865,SUPJ1056,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991022902,SUPJ0153,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991023190,SUPJ1069,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991023213,SUPJ0168,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991023299,SUPJ0180,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991023725,SUPJ0166,Jabra PanaCast 50,not_live
5706991024302,SUPJ0121,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991024364,SUPJ0173,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991024425,SUPJ1049,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991026146,SUPJ1079,Jabra Engage 40 Kopfhörer Kabelgebunden Kopfband Büro/Callcenter,unchanged
5706991027501,SUPJ0184,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991027518,SUPJ1061,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991029109,SUPJ1054,Jabra Bluetooth Kopfhörer kabellos NEU,unchanged
5706991030976,SUPJ1077,Jabra SE Bluetooth Kopfhörer NEU,unchanged
5706991031256,SUPJ0161,Jabra SE Kopfhörer kabellos NEU,unchanged
5706991031522,SUPJ1085,Jabra TE Bluetooth Kopfhörer kabellos NEU,unchanged
5706991031539,SUPJ0170,Jabra TE Bluetooth Kopfhörer kabellos NEU,unchanged
5706991034318,SUPJ0188,Jabra Evolve 30 II Kopfhörer Kabelgebunden Kopfband Büro/Callcenter USB Type-C,updated
5706991034530,SUPJ0183,Jabra Evolve2 40 SE Kopfhörer Kabelgebunden Kopfband Büro/Callcenter USB Type-C,updated
5711603083851,REFT1001,T1A DELL RAM Arbeitsspeicher 16GB DDR4 Full HD NEU,unchanged
5711603084766,REFT1004,T1A X1 RAM Arbeitsspeicher 8GB NEU,unchanged
5711603085060,REFT1010,T1A DELL RAM Arbeitsspeicher 16GB DDR4 Full HD NEU,unchanged
5711603086135,REFT1011,T1A X1 RAM Arbeitsspeicher 32GB NEU,unchanged
5711603086197,REFT1012,T1A X1 RAM Arbeitsspeicher 32GB NEU,unchanged
5711603087880,REFT1003,T1A X1 RAM Arbeitsspeicher 16GB NEU,unchanged
5711603088016,REFT1005,T1A HP RAM Arbeitsspeicher 16GB DDR4 NEU,unchanged
5711603088023,REFT1002,T1A DELL RAM Arbeitsspeicher 16GB DDR4 NEU,unchanged
5711603088276,REFT1013,T1A DELL L SSD 16GB Full HD NEU,unchanged
5711603098626,REFT1007,"N14 T1A Lenovo ThinkPad X1 Carbon Gen 8 (14"")",unchanged
5713518290584,REFR0009,Refurb RFBP00091060 Docking Station NEU,unchanged
5713518291970,REFR0017,Refurb RFBP00118580 Docking Station NEU,unchanged
5713552042200,REFU0009,upcycle it M90 RAM Arbeitsspeicher 32GB DDR4 NEU,not_live
5999056126534,SUPD1021,DELL M0RT ATX Netzteil 1m 65W NEU,not_live
6935364010065,NETT0081,TP-Link USB-3 USB Hub 3.2 1m 7-Port NEU,updated
6935364010751,NETT0086,TP-Link SG3452 Netzwerk Switch NEU,updated
6935364020064,NETT0002,TP-Link Netzwerk Switch 5-Port NEU,updated
